#---------------- data copied from ChemKin/S3D/Fuego -----------------
# Species, eps/kB (K), sigma (ang), alpha (D), alpha (ang^3), Zrot@298 K
#   - eps/kB: Lennard-Jones potential well depth, epsilon over kB with kB the Boltzmann constant in Kelvin
#   - sigma:  Lennard-Jones collision diameter in angström
#   - alpha:  dipole moment in Debye
#   - alpha:  polarizability in cubic angström
#   - Zrot@298 K: rotationnal relaxation collision number at 298 Kelvin
#---------------------------------------------------------------------
Ar                    136.500     3.330     0.000     0.000     0.000
C                      71.400     3.298     0.000     0.000     0.000
C2                     97.530     3.621     0.000     1.760     4.000
C2O                   232.400     3.828     0.000     0.000     1.000
CN2                   232.400     3.828     0.000     0.000     1.000
C2H                   209.000     4.100     0.000     0.000     2.500
C2H2                  209.000     4.100     0.000     0.000     2.500
C2H2OH                224.700     4.162     0.000     0.000     1.000
C2H3                  209.000     4.100     0.000     0.000     1.000
C2H4                  280.800     3.971     0.000     0.000     1.500
C2H5                  252.300     4.302     0.000     0.000     1.500
C2H6                  252.300     4.302     0.000     0.000     1.500
C2N                   232.400     3.828     0.000     0.000     1.000
C2N2                  349.000     4.361     0.000     0.000     1.000
C3H2                  209.000     4.100     0.000     0.000     1.000
C3H4                  252.000     4.760     0.000     0.000     1.000
C3H6                  266.800     4.982     0.000     0.000     1.000
C3H7                  266.800     4.982     0.000     0.000     1.000
C4H6                  357.000     5.180     0.000     0.000     1.000
I*C3H7                266.800     4.982     0.000     0.000     1.000
N*C3H7                266.800     4.982     0.000     0.000     1.000
C3H8                  266.800     4.982     0.000     0.000     1.000
C4H                   357.000     5.180     0.000     0.000     1.000
C4H2                  357.000     5.180     0.000     0.000     1.000
C4H2OH                224.700     4.162     0.000     0.000     1.000
C4H8                  357.000     5.176     0.000     0.000     1.000
C4H9                  357.000     5.176     0.000     0.000     1.000
I*C4H9                357.000     5.176     0.000     0.000     1.000
C5H2                  357.000     5.180     0.000     0.000     1.000
C5H3                  357.000     5.180     0.000     0.000     1.000
C6H2                  357.000     5.180     0.000     0.000     1.000
C6H5                  412.300     5.349     0.000     0.000     1.000
C6H5O                 450.000     5.500     0.000     0.000     1.000
C5H5OH                450.000     5.500     0.000     0.000     1.000
C6H6                  412.300     5.349     0.000     0.000     1.000
C6H7                  412.300     5.349     0.000     0.000     1.000
CH                     80.000     2.750     0.000     0.000     0.000
CH2                   144.000     3.800     0.000     0.000     0.000
CH2(S)                144.000     3.800     0.000     0.000     0.000
CH2*                  144.000     3.800     0.000     0.000     0.000
CH2CHCCH              357.000     5.180     0.000     0.000     1.000
CH2CHCCH2             357.000     5.180     0.000     0.000     1.000
CH2CHCH2              260.000     4.850     0.000     0.000     1.000
CH2CHCHCH             357.000     5.180     0.000     0.000     1.000
CH2CHCHCH2            357.000     5.180     0.000     0.000     1.000
CH2CO                 436.000     3.970     0.000     0.000     2.000
CH2O                  498.000     3.590     0.000     0.000     2.000
CH2OH                 417.000     3.690     1.700     0.000     2.000
CH3                   144.000     3.800     0.000     0.000     0.000
CH3CC                 252.000     4.760     0.000     0.000     1.000
CH3CCCH2              357.000     5.180     0.000     0.000     1.000
CH3CCCH3              357.000     5.180     0.000     0.000     1.000
CH3CCH2               260.000     4.850     0.000     0.000     1.000
CH3CHCH               260.000     4.850     0.000     0.000     1.000
CH3CH2CCH             357.000     5.180     0.000     0.000     1.000
CH3CHO                436.000     3.970     0.000     0.000     2.000
CH3CO                 436.000     3.970     0.000     0.000     2.000
CH3O                  417.000     3.690     1.700     0.000     2.000
CH3OH                 481.800     3.626     0.000     0.000     1.000
CH4                   141.400     3.746     0.000     2.600    13.000
CH4O                  417.000     3.690     1.700     0.000     2.000
CN                     75.000     3.856     0.000     0.000     1.000
CNC                   232.400     3.828     0.000     0.000     1.000
CNN                   232.400     3.828     0.000     0.000     1.000
CO                     98.100     3.650     0.000     1.950     1.800
CO2                   244.000     3.763     0.000     2.650     2.100
H                     145.000     2.050     0.000     0.000     0.000
H2C4O                 357.000     5.180     0.000     0.000     1.000
H2                     38.000     2.920     0.000     0.790   280.000
H2CCCCH               357.000     5.180     0.000     0.000     1.000
H2CCCCH2              357.000     5.180     0.000     0.000     1.000
H2CCCH                252.000     4.760     0.000     0.000     1.000
H2CN                  569.000     3.630     0.000     0.000     1.000
H2NO                  116.700     3.492     0.000     0.000     1.000
H2O                   572.400     2.605     1.844     0.000     4.000
H2O2                  107.400     3.458     0.000     0.000     3.800
